slip_id,date,stake,ticket_odds,ticket_win_prob,ticket_ev,result_return_factor,pnl,hit,bankroll_before,bankroll_after
2026-01-31-001,2026-01-31,5.910240635879618,2.746153846153846,0.6044502487200667,3.9002468470432916,0.0,-5.910240635879618,0,295.5120317939809,289.60179115810126
2026-02-01-001,2026-02-01,5.792035823162025,2.019230769230769,0.67937714165275,2.1535902902700075,0.0,-5.792035823162025,0,289.60179115810126,283.8097553349392
2026-02-02-001,2026-02-02,5.676195106698784,2.3333333333333335,0.5187997874651649,1.1950254615555382,0.0,-5.676195106698784,0,283.8097553349392,278.1335602282404
2026-02-05-001,2026-02-05,5.562671204564809,2.6190476190476186,0.47134464626582695,1.3043021771722652,0.0,-5.562671204564809,0,278.1335602282404,272.5708890236756
2026-02-06-001,2026-02-06,5.451417780473512,2.55,0.552263112375073,2.225655442794329,2.55,8.449697559733941,1,272.5708890236756,281.0205865834095
2026-02-07-001,2026-02-07,5.620411731668191,2.2666666666666666,0.5739345992362032,1.691285445782001,0.0,-5.620411731668191,0,281.0205865834095,275.4001748517413
2026-02-08-001,2026-02-08,5.508003497034827,2.476923076923077,0.5163982283005768,1.5371663925357695,0.0,-5.508003497034827,0,275.4001748517413,269.8921713547065
2026-02-09-001,2026-02-09,5.39784342709413,2.7777777777777772,0.4892278802886208,1.9376440672589954,0.0,-5.39784342709413,0,269.8921713547065,264.49432792761235
2026-02-10-001,2026-02-10,5.289886558552247,2.6714285714285713,0.484843404576278,1.561704239431074,0.0,-5.289886558552247,0,264.49432792761235,259.2044413690601
2026-02-11-001,2026-02-11,5.184088827381202,2.555555555555555,0.4601540644044517,0.9121366743435596,2.555555555555555,8.06413817592631,1,259.2044413690601,267.2685795449864
2026-02-13-001,2026-02-13,5.3453715908997275,1.9206349206349207,0.7076896966179805,1.92012987475707,0.0,-5.3453715908997275,0,267.2685795449864,261.92320795408665
2026-02-14-001,2026-02-14,5.238464159081733,2.333333333333333,0.6095119224727894,2.211650681867259,0.0,-5.238464159081733,0,261.92320795408665,256.6847437950049
2026-02-15-001,2026-02-15,5.133694875900098,2.7777777777777772,0.5327278962966155,2.4631453226192725,2.7777777777777772,9.126568668266838,1,256.6847437950049,265.81131246327175
2026-02-16-001,2026-02-16,5.316226249265435,2.1428571428571423,0.6169438018695134,1.7119441089209646,0.0,-5.316226249265435,0,265.81131246327175,260.49508621400634
2026-02-17-001,2026-02-17,5.209901724280127,2.407407407407407,0.5898781562090621,2.188560109226182,0.0,-5.209901724280127,0,260.49508621400634,255.28518448972622
2026-02-18-001,2026-02-18,5.105703689794525,2.1666666666666665,0.5426390723985078,0.897163990910911,0.0,-5.105703689794525,0,255.28518448972622,250.1794807999317
