fixture_id,league_code,lambda_home_pred,lambda_away_pred,lambda_total_pred
3045,SC0,1.493758921817783,1.0679881666892517,2.5617470885070346
3214,SC1,1.422552936906375,1.2439744485147137,2.6665273854210887
3215,SC1,1.4532418898320794,1.1688348196308882,2.6220767094629673
3216,SC1,1.3646961721974291,1.1349149892154733,2.4996111614129024
3217,SC1,1.3264834895627746,1.1918492473351996,2.518332736897974
3389,SC2,1.5293727083618127,1.2088721827774271,2.7382448911392396
3390,SC2,1.5299908136819202,1.2077410609204178,2.7377318746023382
3391,SC2,1.5293727083618127,1.2088721827774271,2.7382448911392396
3392,SC2,1.537564905059994,1.2052467889767284,2.7428116940367224
3393,SC2,1.5293727083618127,1.2088721827774271,2.7382448911392396
3565,SC3,1.5293727083618127,1.2088721827774271,2.7382448911392396
3566,SC3,1.5293727083618127,1.2088721827774271,2.7382448911392396
3567,SC3,1.5293727083618127,1.2088721827774271,2.7382448911392396
3568,SC3,1.5293727083618127,1.2088721827774271,2.7382448911392396
3569,SC3,1.5293727083618127,1.2088721827774271,2.7382448911392396
5864,F1,1.307856976874088,1.4350306265025996,2.742887603376688
4847,I2,1.4488197054055838,1.2445062317026814,2.6933259371082654
19545,P1,1.2765717010070274,1.3353096605994326,2.61188136160646
21656,PL1,1.4021117962429657,1.3968867957094238,2.7989985919523894
4473,I1,1.4782157796652509,1.2516663765890388,2.7298821562542894
20110,G1,1.410541330898251,1.109154680273617,2.519696011171868
21987,RO1,1.6241864979095413,1.0342818350436023,2.6584683329531433
22404,CH1,1.2327701272714007,1.4000356868330477,2.632805814104448
22405,CH1,1.6094703687531597,1.1745959441106757,2.7840663128638354
19311,B1,1.38869453095471,1.2572836009486061,2.645978131903316
3815,D1,1.1393978334276402,1.9488569923047818,3.088254825732422
5092,SP1,1.2912843854676332,1.4411396988924925,2.732424084360126
5486,SP2,1.4281708195120861,1.1696609629197667,2.597831782431853
19015,N1,1.4189822534046834,1.1796323052488293,2.5986145586535128
5865,F1,1.2440940675287677,1.262391782750562,2.5064858502793297
559,E0,1.6720897690650998,1.0275950413821684,2.699684810447268
4848,I2,1.4587630375060676,1.1341978907113863,2.5929609282174537
12101,F2,1.893760036058733,0.9149544676323018,2.808714503691035
19546,P1,1.3283213578582553,1.2542030680272633,2.5825244258855187
21657,PL1,1.459011871721241,1.2640881075567998,2.723099979278041
4121,D2,1.4604734861362214,1.3011478519519792,2.761621338088201
22406,CH1,1.3513716609382942,1.369946266675226,2.72131792761352
4474,I1,1.3281572366251186,1.1407237547567795,2.468880991381898
19312,B1,1.7163608620685684,1.042824290318212,2.7591851523867805
5093,SP1,1.3349821316783157,1.7733001837205653,3.1082823153988812
5487,SP2,1.7461322560659427,1.047432469977587,2.7935647260435297
19016,N1,1.3125296346427553,1.4385995928138593,2.7511292274566146
5866,F1,1.4929279334301577,1.2609424859142508,2.7538704193444086
560,E0,1.5903731184078465,1.2439887129004588,2.834361831308305
3046,SC0,1.1993000031687433,1.3474309328612313,2.5467309360299746
19547,P1,1.3311396300618492,1.1557971821978672,2.4869368122597164
21371,MX1,1.4086653261985593,1.2325923350062746,2.641257661204834
21372,MX1,1.223578918013646,1.406307537424652,2.629886455438298
21373,MX1,1.4870717060338208,1.080349901377132,2.567421607410953
21374,MX1,1.6535051754682195,1.0306195182231668,2.6841246936913863
21375,MX1,1.2983369317555469,1.3312530886052336,2.6295900203607805
19017,N1,1.2016769984426057,1.5975597486675719,2.799236747110178
21658,PL1,1.3276187383181806,1.4115003945902045,2.7391191329083853
4475,I1,1.5921687967278535,0.9641465362795223,2.556315333007376
19856,T1,1.4670609499812148,1.1533309586245954,2.6203919086058103
4122,D2,1.451487765882108,1.1566876965310675,2.6081754624131754
4123,D2,1.2513164422563519,1.5061941515990074,2.7575105938553595
4124,D2,1.64356078775245,1.1524424681774077,2.7960032559298575
19313,B1,1.3520804111935985,1.3025012122476358,2.654581623441234
5094,SP1,1.8091805425657255,1.1745571837432587,2.983737726308984
5488,SP2,1.5168601483699526,1.2522047915129457,2.7690649398828984
20111,G1,1.8617714566313228,0.9500945413485674,2.8118659979798903
22407,CH1,1.4400473594195027,1.1812384334271737,2.6212857928466766
22576,CH2,1.4830893969102958,1.10791306326841,2.591002460178706
19018,N1,1.7999878208266327,1.2436757246989252,3.0436635455255576
19019,N1,1.6135436960396885,1.0759817895202501,2.6895254855599386
21659,PL1,1.2091332106001984,1.3552594644962521,2.5643926750964505
4476,I1,1.7792821133922259,1.1503779104608125,2.9296600238530384
4849,I2,1.2446229532843358,1.3115313272055884,2.556154280489924
5867,F1,1.8187264013938236,1.0831454988566165,2.9018719002504403
21988,RO1,1.2370214841803326,1.4896981094960366,2.7267195936763695
3816,D1,1.688992197932327,1.1870354246385861,2.876027622570913
20112,G1,1.6932777327966235,1.106230607546059,2.7995083403426824
561,E0,1.6346024912180974,1.1188328509993413,2.753435342217439
562,E0,1.3479235263364602,1.146380426786946,2.4943039531234064
563,E0,1.5594982019348567,1.2192217649730797,2.7787199669079365
3047,SC0,1.1849629021102581,1.5701428605311305,2.7551057626413886
19314,B1,1.2296810302686862,1.423616704901631,2.6532977351703173
19857,T1,2.171472002008892,0.8884316121878957,3.0599036141967875
5095,SP1,1.549376724419459,1.1412232156823678,2.690599940101827
5489,SP2,1.258098084160955,1.3241142359586793,2.582212320119634
22408,CH1,1.626024202150208,1.2254005554889633,2.8514247576391716
